Scaling equations	6.5005*x-6.2775	6.3958*x-6.2302	6.4602*x-6.1928	6.5020*x-6.2666	6.4260*x-6.1741	6.4277*x-6.2111	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2019.10.29 00:32:11.316	-0.083247	-0.082919	-0.082919	-0.082919	-0.082919	-0.083247	-0.083247	-0.083576
2019.10.29 00:32:12.316	-0.083247	-0.083576	-0.082919	-0.082919	-0.083247	-0.082919	-0.082919	-0.083247
2019.10.29 00:32:13.316	-0.083247	-0.083576	-0.082590	-0.083247	-0.083247	-0.082919	-0.082590	-0.083247
2019.10.29 00:32:14.316	-0.083247	-0.082590	-0.082919	-0.083247	-0.082919	-0.083247	-0.082590	-0.082919
2019.10.29 00:32:15.316	-0.083247	-0.083576	-0.083247	-0.083247	-0.082590	-0.082919	-0.082919	-0.083247
2019.10.29 00:32:16.316	-0.083247	-0.083247	-0.082919	-0.082919	-0.082919	-0.083576	-0.083576	-0.082590
2019.10.29 00:32:17.316	-0.083247	-0.083576	-0.082919	-0.083247	-0.082919	-0.083247	-0.082590	-0.083247
2019.10.29 00:32:18.316	-0.083247	-0.082590	-0.083247	-0.082919	-0.082919	-0.082919	-0.082590	-0.082590
2019.10.29 00:32:19.316	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.082919	-0.083247	-0.082590
2019.10.29 00:32:20.316	-0.083247	-0.082919	-0.082919	-0.082590	-0.083247	-0.083576	-0.083247	-0.083247
2019.10.29 00:32:21.316	-0.083576	-0.083247	-0.083247	-0.082919	-0.082590	-0.083247	-0.082919	-0.082261
2019.10.29 00:32:22.316	-0.082919	-0.083576	-0.083247	-0.083247	-0.083247	-0.082919	-0.082919	-0.082919
2019.10.29 00:32:23.316	-0.082919	-0.083247	-0.083247	-0.083247	-0.082590	-0.083576	-0.083247	-0.083247
2019.10.29 00:32:24.316	-0.082919	-0.082919	-0.082919	-0.083247	-0.082919	-0.082919	-0.082919	-0.083247
2019.10.29 00:32:25.316	-0.082919	-0.082919	-0.082919	-0.082919	-0.082919	-0.083247	-0.082919	-0.083247
2019.10.29 00:32:26.316	-0.083247	-0.082919	-0.082919	-0.083576	-0.083576	-0.082919	-0.082919	-0.083247
2019.10.29 00:32:27.316	-0.082590	-0.083247	-0.083247	-0.082919	-0.082919	-0.083247	-0.083576	-0.083247
2019.10.29 00:32:28.316	-0.082919	-0.083247	-0.082919	-0.082919	-0.083576	-0.083247	-0.082919	-0.081604
2019.10.29 00:32:29.316	-0.083247	-0.083247	-0.082919	-0.083247	-0.082919	-0.083247	-0.083247	-0.084233
2019.10.29 00:32:30.316	-0.083576	-0.083247	-0.083247	-0.082919	-0.082919	-0.082919	-0.083247	-0.081933
2019.10.29 00:32:31.316	-0.082919	-0.082919	-0.083247	-0.082919	-0.083576	-0.083247	-0.082919	-0.082919
2019.10.29 00:32:32.316	-0.082919	-0.082919	-0.083576	-0.082919	-0.083247	-0.083576	-0.083247	-0.083247
2019.10.29 00:32:33.316	-0.082919	-0.082919	-0.083247	-0.083247	-0.083247	-0.083247	-0.082919	-0.082590
2019.10.29 00:32:34.316	-0.083247	-0.083247	-0.083247	-0.083576	-0.083905	-0.083576	-0.083576	-0.083576
2019.10.29 00:32:35.316	-0.083247	-0.083247	-0.083576	-0.083247	-0.082919	-0.082919	-0.083905	-0.083905
2019.10.29 00:32:36.316	-0.082590	-0.083247	-0.082919	-0.083247	-0.083576	-0.082919	-0.082919	-0.082919
2019.10.29 00:32:37.316	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083576	-0.083247	-0.082919
2019.10.29 00:32:38.316	-0.083247	-0.083247	-0.083576	-0.083247	-0.083247	-0.082919	-0.083247	-0.083247
2019.10.29 00:32:39.316	-0.083247	-0.083247	-0.082919	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247
2019.10.29 00:32:40.316	-0.083247	-0.083247	-0.083247	-0.083247	-0.083576	-0.082919	-0.082919	-0.083247
2019.10.29 00:32:41.316	-0.083247	-0.083247	-0.083247	-0.083576	-0.082919	-0.083247	-0.083247	-0.083576
2019.10.29 00:32:42.316	-0.083576	-0.083247	-0.083247	-0.083247	-0.083247	-0.082919	-0.083247	-0.082919
2019.10.29 00:32:43.316	-0.082919	-0.083576	-0.082590	-0.083247	-0.083576	-0.083576	-0.082919	-0.082590
2019.10.29 00:32:44.316	-0.083576	-0.083247	-0.082919	-0.083247	-0.083247	-0.083576	-0.083247	-0.083247
2019.10.29 00:32:45.316	-0.083576	-0.083576	-0.083247	-0.083247	-0.083576	-0.083576	-0.083247	-0.083247
2019.10.29 00:32:46.316	-0.083247	-0.083247	-0.082919	-0.083576	-0.082919	-0.083576	-0.082919	-0.083247
2019.10.29 00:32:47.316	-0.083576	-0.083247	-0.083247	-0.083576	-0.083905	-0.083576	-0.083576	-0.083905
2019.10.29 00:32:48.316	-0.082919	-0.083576	-0.083247	-0.082919	-0.082590	-0.083247	-0.083576	-0.083247
2019.10.29 00:32:49.316	-0.083576	-0.083576	-0.083247	-0.083247	-0.083576	-0.082919	-0.082919	-0.083247
2019.10.29 00:32:50.316	-0.083576	-0.083576	-0.083247	-0.083247	-0.083247	-0.083247	-0.083576	-0.082590
2019.10.29 00:32:51.316	-0.083247	-0.082919	-0.082919	-0.083576	-0.083247	-0.082590	-0.083247	-0.083247
2019.10.29 00:32:52.316	-0.083247	-0.082919	-0.083247	-0.082919	-0.083247	-0.083247	-0.082919	-0.082590
2019.10.29 00:32:53.316	-0.083576	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.082919
2019.10.29 00:32:54.316	-0.082919	-0.082919	-0.082919	-0.082919	-0.082919	-0.082590	-0.083576	-0.082590
