Scaling equations	6.4966*x-6.2646	6.3877*x-6.2031	6.4541*x-6.1727	6.4865*x-6.2161	6.4136*x-6.1333	6.4099*x-6.1522	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2019.12.11 19:54:03.306	0.969799	0.980974	0.959939	1.000365	0.974400	1.062483	-0.001738	-0.002395
2019.12.11 19:54:03.556	0.970785	0.978673	0.958953	1.032903	0.979002	1.073000	-0.001409	-0.002067
2019.12.11 19:54:03.806	0.970785	0.979002	0.966184	1.086476	0.983932	1.081874	-0.001738	-0.002067
2019.12.11 19:54:04.056	0.971771	0.980645	0.961911	1.121314	0.980974	1.096007	-0.001409	-0.002067
2019.12.11 19:54:04.306	0.972757	0.977358	0.961582	1.117370	0.973743	1.111454	-0.002067	-0.001738
2019.12.11 19:54:04.556	0.974072	0.982617	0.963554	1.067742	0.969799	1.123286	-0.001738	-0.002067
2019.12.11 19:54:04.806	0.974072	0.981302	0.963883	1.016470	0.969470	1.103238	-0.001738	-0.002395
2019.12.11 19:54:05.056	0.972757	0.980316	0.960925	0.993463	0.967498	1.049008	-0.002067	-0.002067
2019.12.11 19:54:05.306	0.973414	0.981960	0.959282	0.995435	0.969799	1.001351	-0.001738	-0.002067
2019.12.11 19:54:05.556	0.971771	0.981302	0.960925	1.002008	0.972100	0.985904	-0.002067	-0.002067
2019.12.11 19:54:05.806	0.974729	0.981302	0.960268	1.008582	0.971114	0.986232	-0.001738	-0.002067
2019.12.11 19:54:06.056	0.972757	0.979002	0.963554	1.020414	0.970128	0.985575	-0.002067	-0.002067
2019.12.11 19:54:06.306	0.972100	0.979330	0.960925	1.037504	0.971771	0.987218	-0.002067	-0.001738
2019.12.11 19:54:06.556	0.974072	0.978673	0.961254	1.061497	0.972757	0.999379	-0.002067	-0.002067
2019.12.11 19:54:06.806	0.971771	0.984918	0.959610	1.077273	0.975386	1.040462	-0.001738	-0.002067
2019.12.11 19:54:07.056	0.971771	0.978673	0.959939	1.080888	0.978344	1.101594	-0.001738	-0.002067
2019.12.11 19:54:07.306	0.973086	0.981302	0.961582	1.101266	0.976372	1.127887	-0.002067	-0.002724
2019.12.11 19:54:07.556	0.972757	0.978344	0.958296	1.105538	0.972428	1.105210	-0.002067	-0.002067
2019.12.11 19:54:07.806	0.974400	0.977687	0.961582	1.087133	0.969799	1.067413	-0.002067	-0.001738
2019.12.11 19:54:08.056	0.972757	0.976701	0.960268	1.040791	0.967827	1.037504	-0.001738	-0.002067
2019.12.11 19:54:08.306	0.973086	0.980316	0.962568	1.000694	0.967498	1.018770	-0.001738	-0.001738
2019.12.11 19:54:08.556	0.970128	0.981302	0.956652	0.984589	0.970456	1.011211	-0.002067	-0.001409
2019.12.11 19:54:08.806	0.972757	0.977687	0.960596	0.982946	0.973414	1.021071	-0.002067	-0.001738
2019.12.11 19:54:09.056	0.972100	0.980974	0.959282	0.983932	0.976372	1.040791	-0.001738	-0.002067
2019.12.11 19:54:09.306	0.966841	0.982946	0.961582	0.999708	0.979330	1.062154	-0.002067	-0.001738
2019.12.11 19:54:09.556	0.972100	0.978673	0.963554	1.032574	0.979330	1.070371	-0.002067	-0.001738
2019.12.11 19:54:09.806	0.969470	0.978344	0.959610	1.103895	0.974400	1.055252	-0.002067	-0.002067
2019.12.11 19:54:10.056	0.974072	0.980645	0.960925	1.146293	0.970128	1.036190	-0.002067	-0.002067
2019.12.11 19:54:10.306	0.970785	0.975386	0.962897	1.123286	0.968156	1.038490	-0.002067	-0.002067
2019.12.11 19:54:10.556	0.970456	0.980316	0.960268	1.093378	0.969799	1.054924	-0.002067	-0.002067
2019.12.11 19:54:10.806	0.971771	0.982288	0.960596	1.060511	0.968156	1.082860	-0.002067	-0.001738
2019.12.11 19:54:11.056	0.975058	0.978673	0.961911	1.038162	0.971771	1.115727	-0.002067	-0.002067
2019.12.11 19:54:11.306	0.972757	0.980974	0.965855	1.005624	0.973086	1.139391	-0.001738	-0.001738
2019.12.11 19:54:11.556	0.973414	0.979002	0.956324	0.997736	0.974400	1.104881	-0.002067	-0.002067
2019.12.11 19:54:11.806	0.972100	0.979659	0.958296	1.002008	0.971771	1.042106	-0.001738	-0.002067
2019.12.11 19:54:12.056	0.971114	0.979659	0.964540	1.002994	0.972428	1.006610	-0.001738	-0.002067
2019.12.11 19:54:12.306	0.968156	0.983932	0.957638	1.016470	0.972428	0.994449	-0.002395	-0.002067
2019.12.11 19:54:12.556	0.969799	0.980645	0.961911	1.042106	0.972100	0.991820	-0.002067	-0.002067
2019.12.11 19:54:12.806	0.972100	0.979002	0.959939	1.087462	0.973414	0.992477	-0.001738	-0.002067
2019.12.11 19:54:13.056	0.975058	0.978673	0.960925	1.126573	0.975386	1.009568	-0.001738	-0.001738
2019.12.11 19:54:13.306	0.972428	0.979002	0.965526	1.129531	0.977030	1.058210	-0.002067	-0.002067
2019.12.11 19:54:13.556	0.977687	0.983274	0.963226	1.102580	0.978673	1.130517	-0.002067	-0.001738
2019.12.11 19:54:13.806	0.974072	0.982617	0.962897	1.049008	0.975386	1.172257	-0.001738	-0.001738
2019.12.11 19:54:14.056	0.973086	0.982946	0.961582	1.012197	0.967170	1.158782	-0.001738	-0.002395
2019.12.11 19:54:14.306	0.972428	0.978673	0.966841	0.998393	0.965526	1.087133	-0.002067	-0.002067
2019.12.11 19:54:14.556	0.976701	0.979988	0.962568	0.989848	0.967498	1.020085	-0.002067	-0.001738
2019.12.11 19:54:14.806	0.967827	0.982288	0.963883	0.986561	0.971771	0.993463	-0.001738	-0.002395
2019.12.11 19:54:15.056	0.970456	0.978673	0.962568	0.988533	0.971442	0.991162	-0.002067	-0.002067
2019.12.11 19:54:15.306	0.974400	0.978016	0.961582	1.006938	0.973743	0.995106	-0.002395	-0.001738
2019.12.11 19:54:15.556	0.974072	0.980645	0.959282	1.034218	0.975715	0.998393	-0.001738	-0.002067
2019.12.11 19:54:15.806	0.973414	0.979002	0.959610	1.072014	0.975386	1.011540	-0.002067	-0.002067
2019.12.11 19:54:16.056	0.972757	0.978673	0.959939	1.090748	0.971771	1.038162	-0.001738	-0.002395
2019.12.11 19:54:16.306	0.976044	0.981302	0.956324	1.094364	0.969470	1.073986	-0.001738	-0.002067
2019.12.11 19:54:16.556	0.972428	0.978344	0.962897	1.074972	0.969799	1.103895	-0.002067	-0.001738
2019.12.11 19:54:16.806	0.969470	0.979659	0.962897	1.056238	0.969142	1.110140	-0.001738	-0.001738
2019.12.11 19:54:17.056	0.969470	0.980645	0.964869	1.043749	0.971114	1.096993	-0.001738	-0.002067
2019.12.11 19:54:17.306	0.969142	0.979002	0.959939	1.037504	0.973086	1.067742	-0.001738	-0.002067
2019.12.11 19:54:17.556	0.974729	0.977358	0.962240	1.035204	0.972428	1.040791	-0.002067	-0.001738
2019.12.11 19:54:17.806	0.973414	0.976701	0.961582	1.034218	0.972757	1.026001	-0.002067	-0.002067
2019.12.11 19:54:18.056	0.973414	0.980316	0.962568	1.042763	0.971442	1.018770	-0.002067	-0.001738
2019.12.11 19:54:18.306	0.973414	0.977687	0.961582	1.044735	0.973743	1.021071	-0.001738	-0.002067
2019.12.11 19:54:18.556	0.974729	0.978016	0.957638	1.032903	0.974400	1.033889	-0.001738	-0.002067
2019.12.11 19:54:18.806	0.973743	0.981631	0.958953	1.014826	0.973414	1.044735	-0.001738	-0.001738
2019.12.11 19:54:19.056	0.972100	0.981302	0.961582	0.998722	0.973743	1.049008	-0.002067	-0.001738
2019.12.11 19:54:19.306	0.972100	0.980645	0.964212	0.994449	0.972100	1.057553	-0.001738	-0.001738
2019.12.11 19:54:19.556	0.975058	0.981631	0.962568	0.996092	0.972100	1.064455	-0.001738	-0.002067
2019.12.11 19:54:19.806	0.971114	0.977358	0.961911	1.009896	0.973414	1.064455	-0.002067	-0.002067
2019.12.11 19:54:20.056	0.970128	0.980316	0.957967	1.042106	0.974400	1.066427	-0.001738	-0.002395
2019.12.11 19:54:20.306	0.972757	0.981960	0.963226	1.061826	0.974400	1.074972	-0.002067	-0.002067
2019.12.11 19:54:20.556	0.974072	0.979330	0.961911	1.064455	0.969799	1.077930	-0.002067	-0.001738
2019.12.11 19:54:20.806	0.970456	0.981960	0.962240	1.064126	0.966841	1.064126	-0.002067	-0.002067
2019.12.11 19:54:21.056	0.970128	0.981302	0.957310	1.056567	0.966512	1.028959	-0.001738	-0.002067
2019.12.11 19:54:21.306	0.976372	0.981302	0.958624	1.045064	0.966841	1.002337	-0.002067	-0.001409
2019.12.11 19:54:21.556	0.970785	0.980974	0.962897	1.027973	0.967498	0.986561	-0.002067	-0.001738
2019.12.11 19:54:21.806	0.974400	0.980316	0.957310	1.010882	0.973414	0.984589	-0.002067	-0.001738
2019.12.11 19:54:22.056	0.972428	0.982288	0.958624	1.002994	0.976701	0.987218	-0.002067	-0.002395
2019.12.11 19:54:22.306	0.972100	0.977687	0.957967	1.011540	0.980316	0.999708	-0.001738	-0.002067
2019.12.11 19:54:22.556	0.970456	0.978016	0.960268	1.043420	0.984260	1.029288	-0.001738	-0.002067
2019.12.11 19:54:22.806	0.974400	0.976372	0.961254	1.095350	0.984589	1.080888	-0.002067	-0.001738
2019.12.11 19:54:23.056	0.973414	0.980974	0.959610	1.129202	0.979988	1.127559	-0.002067	-0.002067
2019.12.11 19:54:23.306	0.970785	0.979659	0.961254	1.129859	0.974729	1.160425	-0.002067	-0.002067
2019.12.11 19:54:23.556	0.972100	0.978673	0.961911	1.090748	0.967827	1.175544	-0.001738	-0.002395
2019.12.11 19:54:23.806	0.974400	0.983603	0.960596	1.047036	0.968156	1.140048	-0.002067	-0.002067
2019.12.11 19:54:24.056	0.972100	0.978673	0.956652	1.017127	0.969142	1.079574	-0.002067	-0.002067
2019.12.11 19:54:24.306	0.974400	0.983274	0.961911	1.005295	0.971442	1.027316	-0.001738	-0.001738
2019.12.11 19:54:24.556	0.973414	0.980974	0.962568	0.996421	0.973086	1.001680	-0.001738	-0.001738
2019.12.11 19:54:24.806	0.973743	0.980316	0.960268	0.992477	0.973086	0.995435	-0.001738	-0.001738
2019.12.11 19:54:25.056	0.971442	0.979659	0.958953	0.988204	0.971442	0.997407	-0.001738	-0.001738
2019.12.11 19:54:25.306	0.973743	0.977358	0.960596	0.982946	0.970785	1.011540	-0.001738	-0.002067
2019.12.11 19:54:25.556	0.969799	0.974400	0.963226	0.984918	0.971771	1.047036	-0.002067	-0.001738
2019.12.11 19:54:25.806	0.974729	0.977358	0.959282	0.997407	0.972428	1.090091	-0.002067	-0.002395
2019.12.11 19:54:26.056	0.973086	0.978344	0.957310	1.025015	0.972100	1.109154	-0.001409	-0.001738
2019.12.11 19:54:26.306	0.975386	0.982288	0.959610	1.070042	0.974729	1.109154	-0.001738	-0.002067
2019.12.11 19:54:26.556	0.974729	0.980974	0.961582	1.102580	0.971771	1.093378	-0.002067	-0.001738
2019.12.11 19:54:26.806	0.969799	0.981631	0.962240	1.119342	0.970456	1.061168	-0.001738	-0.001738
2019.12.11 19:54:27.056	0.975058	0.983932	0.963226	1.104224	0.969799	1.019756	-0.002067	-0.001738
2019.12.11 19:54:27.306	0.975058	0.980974	0.962897	1.071028	0.968813	0.995106	-0.002067	-0.002067
2019.12.11 19:54:27.556	0.970785	0.978016	0.963226	1.033889	0.969142	0.989190	-0.002395	-0.002067
2019.12.11 19:54:27.806	0.974400	0.980645	0.959610	1.014498	0.970785	0.994449	-0.001738	-0.002067
2019.12.11 19:54:28.056	0.968813	0.981302	0.962240	1.003652	0.972757	1.008582	-0.001738	-0.001738
2019.12.11 19:54:28.306	0.969799	0.975715	0.962897	1.000694	0.975715	1.036847	-0.001738	-0.001738
2019.12.11 19:54:28.556	0.973086	0.980645	0.961582	1.003323	0.980316	1.082860	-0.002067	-0.001738
2019.12.11 19:54:28.806	0.974072	0.979659	0.961582	1.031588	0.981960	1.099951	-0.002067	-0.002067
2019.12.11 19:54:29.056	0.973086	0.978016	0.961582	1.071357	0.982288	1.077930	-0.002067	-0.002395
2019.12.11 19:54:29.306	0.971442	0.979330	0.959939	1.113755	0.975386	1.042434	-0.001738	-0.001738
2019.12.11 19:54:29.556	0.973414	0.980645	0.956981	1.136104	0.970456	1.018442	-0.002067	-0.001738
2019.12.11 19:54:29.806	0.973743	0.981960	0.963883	1.120657	0.966841	1.008582	-0.002067	-0.002067
2019.12.11 19:54:30.056	0.974729	0.980645	0.966184	1.073329	0.969142	1.012197	-0.001738	-0.001738
2019.12.11 19:54:30.306	0.971442	0.982288	0.961254	1.015484	0.969142	1.035204	-0.002067	-0.002067
2019.12.11 19:54:30.556	0.969799	0.977358	0.962568	0.985246	0.968813	1.057553	-0.001738	-0.001738
2019.12.11 19:54:30.806	0.972428	0.978673	0.960596	0.983603	0.972428	1.075630	-0.002067	-0.002067
2019.12.11 19:54:31.056	0.970785	0.978016	0.960925	0.988533	0.973743	1.079902	-0.001738	-0.001738
2019.12.11 19:54:31.306	0.970456	0.978344	0.958624	0.994449	0.972757	1.063140	-0.001409	-0.002067
2019.12.11 19:54:31.556	0.973414	0.979330	0.960925	1.027316	0.975386	1.051637	-0.001738	-0.002067
2019.12.11 19:54:31.806	0.975058	0.980316	0.958953	1.069714	0.973414	1.048679	-0.002067	-0.001738
2019.12.11 19:54:32.056	0.975386	0.981302	0.960596	1.089434	0.975058	1.065112	-0.001738	-0.001738
2019.12.11 19:54:32.306	0.972428	0.981631	0.959282	1.078259	0.972100	1.068728	-0.002067	-0.002067
2019.12.11 19:54:32.556	0.971442	0.977358	0.961254	1.062483	0.970128	1.049665	-0.001738	-0.001738
2019.12.11 19:54:32.806	0.971442	0.979988	0.962897	1.058210	0.969470	1.021400	-0.002395	-0.002395
2019.12.11 19:54:33.056	0.975058	0.979002	0.960925	1.062154	0.969799	1.000694	-0.001738	-0.001738
2019.12.11 19:54:33.306	0.975058	0.978344	0.962240	1.051637	0.972757	0.999050	-0.001738	-0.002067
2019.12.11 19:54:33.556	0.973414	0.977687	0.962897	1.020742	0.973086	1.021400	-0.001738	-0.002067
2019.12.11 19:54:33.806	0.972757	0.979002	0.960268	1.001351	0.971771	1.063798	-0.001738	-0.002067
2019.12.11 19:54:34.056	0.971114	0.979988	0.958296	1.001351	0.970128	1.099951	-0.002395	-0.002067
2019.12.11 19:54:34.306	0.971771	0.979659	0.958296	1.016141	0.973086	1.092720	-0.001738	-0.002395
2019.12.11 19:54:34.556	0.971771	0.976372	0.960596	1.043420	0.970785	1.065441	-0.002067	-0.002395
2019.12.11 19:54:34.806	0.971442	0.979002	0.960268	1.068399	0.971442	1.036190	-0.002067	-0.002067
2019.12.11 19:54:35.056	0.970456	0.980316	0.958296	1.094692	0.973414	1.020742	-0.001738	-0.002395
2019.12.11 19:54:35.306	0.972757	0.981960	0.960925	1.078916	0.975058	1.036847	-0.002067	-0.002067
2019.12.11 19:54:35.556	0.974729	0.981302	0.959282	1.029616	0.978673	1.085490	-0.002067	-0.001738
2019.12.11 19:54:35.806	0.974729	0.977687	0.959939	1.001351	0.978016	1.128545	-0.002395	-0.001738
2019.12.11 19:54:36.056	0.973086	0.983603	0.960925	0.995435	0.976372	1.145635	-0.001409	-0.002067
2019.12.11 19:54:36.306	0.971442	0.980316	0.961911	1.006281	0.971771	1.122629	-0.002067	-0.001738
2019.12.11 19:54:36.556	0.973086	0.979330	0.956981	1.024686	0.970785	1.064126	-0.002067	-0.002395
2019.12.11 19:54:36.806	0.972428	0.981302	0.961254	1.046050	0.969470	1.014498	-0.002067	-0.002067
2019.12.11 19:54:37.056	0.973414	0.977358	0.965526	1.066756	0.968156	0.987218	-0.001738	-0.001738
2019.12.11 19:54:37.306	0.974729	0.979002	0.964540	1.068728	0.967827	0.982617	-0.002067	-0.002395
2019.12.11 19:54:37.556	0.968484	0.980316	0.961582	1.036190	0.971442	0.985904	-0.001738	-0.002067
2019.12.11 19:54:37.806	0.967170	0.978673	0.962240	1.002008	0.972757	0.995764	-0.001738	-0.002067
2019.12.11 19:54:38.056	0.970785	0.981302	0.960925	0.990834	0.973743	1.005624	-0.002067	-0.002395
2019.12.11 19:54:38.306	0.970128	0.979330	0.960268	0.995435	0.976701	1.021071	-0.002067	-0.002395
2019.12.11 19:54:38.556	0.971771	0.978016	0.960596	1.016141	0.976372	1.042434	-0.002067	-0.002067
