Scaling equations	6.4966*x-6.2646	6.3877*x-6.2031	6.4541*x-6.1727	6.4865*x-6.2161	6.4136*x-6.1333	6.4099*x-6.1522	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2019.11.16 22:50:02.441	0.978016	0.976701	0.963554	0.981631	0.971114	1.000365	-0.002724	-0.002395
2019.11.16 22:50:02.941	0.973743	0.980316	0.967170	0.978673	0.971771	1.003652	-0.002067	-0.002067
2019.11.16 22:50:03.441	0.979988	0.981302	0.967498	0.981302	0.970785	1.010225	-0.002395	-0.001738
2019.11.16 22:50:03.941	0.978344	0.981302	0.964212	0.976372	0.970785	1.014826	-0.002067	-0.001738
2019.11.16 22:50:04.441	0.977358	0.975058	0.964540	0.981631	0.972428	1.001351	-0.002067	-0.002395
2019.11.16 22:50:04.941	0.975058	0.980316	0.968156	0.979330	0.972428	0.993134	-0.001738	-0.001738
2019.11.16 22:50:05.441	0.978673	0.982617	0.964212	0.979330	0.970785	0.991820	-0.001738	-0.002067
2019.11.16 22:50:05.941	0.977358	0.978673	0.964869	0.982288	0.970128	0.992148	-0.002067	-0.002067
2019.11.16 22:50:06.441	0.979659	0.982288	0.967170	0.984918	0.970785	0.991820	-0.002067	-0.002067
2019.11.16 22:50:06.941	0.977358	0.981960	0.966512	0.980974	0.970456	0.991820	-0.002395	-0.002067
