Scaling equations	6.4966*x-6.2646	6.3877*x-6.2031	6.4541*x-6.1727	6.4865*x-6.2161	6.4136*x-6.1333	6.4099*x-6.1522	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2019.12.31 01:58:55.589	1.118027	1.032574	1.068070	0.963226	0.963883	0.973414	-0.002067	-0.002395
2019.12.31 01:58:55.839	1.097979	1.023372	1.122300	0.964540	0.964540	0.970128	-0.001738	-0.002067
2019.12.31 01:58:56.089	1.070700	1.002994	1.157467	0.963883	0.964212	0.969142	-0.002067	-0.002067
2019.12.31 01:58:56.339	1.023043	0.992148	1.174229	0.967498	0.964212	0.969799	-0.002067	-0.002067
2019.12.31 01:58:56.589	0.987218	0.986561	1.167327	0.964212	0.964540	0.969142	-0.002067	-0.002395
2019.12.31 01:58:56.839	0.979988	0.982617	1.142677	0.968813	0.965855	0.969142	-0.002067	-0.002395
2019.12.31 01:58:57.089	0.974729	0.984260	1.078588	0.965855	0.964869	0.970128	-0.001738	-0.002067
2019.12.31 01:58:57.339	0.976701	0.979988	0.999050	0.967170	0.965855	0.970456	-0.002395	-0.002067
2019.12.31 01:58:57.589	0.974729	0.980974	0.967498	0.967498	0.966512	0.971114	-0.002395	-0.002067
2019.12.31 01:58:57.839	0.979002	0.982288	0.963226	0.964212	0.964540	0.972757	-0.002395	-0.002067
2019.12.31 01:58:58.089	0.976701	0.983603	0.959939	0.965526	0.967170	0.973086	-0.002395	-0.002067
2019.12.31 01:58:58.339	0.973086	0.982617	0.961911	0.962897	0.966184	0.971442	-0.002395	-0.002067
2019.12.31 01:58:58.589	0.980316	0.983603	0.969470	0.964869	0.967170	0.972100	-0.002067	-0.002395
2019.12.31 01:58:58.839	0.987876	0.984589	0.968484	0.965526	0.964212	0.972428	-0.002067	-0.001738
2019.12.31 01:58:59.089	1.009896	0.994120	0.975386	0.968484	0.963883	0.971114	-0.002395	-0.002067
2019.12.31 01:58:59.339	1.041777	0.999379	0.984260	0.963226	0.962897	0.970456	-0.002067	-0.002067
2019.12.31 01:58:59.589	1.077273	1.009896	0.989190	0.965526	0.963554	0.969799	-0.002067	-0.002395
2019.12.31 01:58:59.839	1.096664	1.016141	1.016798	0.965198	0.964212	0.967827	-0.002724	-0.002724
2019.12.31 01:59:00.089	1.099294	1.010882	1.047693	0.968484	0.964212	0.970128	-0.001738	-0.002067
2019.12.31 01:59:00.339	1.080888	0.998722	1.091406	0.961911	0.964212	0.970456	-0.002067	-0.001738
2019.12.31 01:59:00.589	1.041120	0.991491	1.138076	0.969142	0.964540	0.967498	-0.001738	-0.002067
2019.12.31 01:59:00.839	1.005295	0.985904	1.166013	0.966184	0.964869	0.968156	-0.002395	-0.002067
2019.12.31 01:59:01.089	0.985246	0.984589	1.153852	0.967170	0.965855	0.969470	-0.001738	-0.001738
2019.12.31 01:59:01.339	0.983932	0.981960	1.108168	0.962897	0.965855	0.970785	-0.002395	-0.001738
2019.12.31 01:59:01.589	0.979002	0.981302	1.049665	0.964869	0.967170	0.970128	-0.002395	-0.002724
2019.12.31 01:59:01.839	0.982288	0.983603	1.022057	0.967170	0.967827	0.974400	-0.002395	-0.002395
2019.12.31 01:59:02.089	0.987876	0.987547	1.007267	0.968156	0.966841	0.974400	-0.001738	-0.002067
2019.12.31 01:59:02.339	1.017456	0.994120	1.001351	0.965526	0.966512	0.973086	-0.002067	-0.002395
2019.12.31 01:59:02.589	1.050322	1.001022	0.999708	0.965526	0.965198	0.972428	-0.001738	-0.002067
2019.12.31 01:59:02.839	1.070042	1.003323	1.012854	0.964212	0.964869	0.971771	-0.002067	-0.002395
2019.12.31 01:59:03.089	1.075630	1.002008	1.017784	0.962568	0.964212	0.971114	-0.002067	-0.002067
2019.12.31 01:59:03.339	1.065770	1.000036	1.031917	0.966512	0.962568	0.969799	-0.001738	-0.002067
2019.12.31 01:59:03.589	1.034546	0.994449	1.037504	0.969470	0.964540	0.969142	-0.002067	-0.002395
2019.12.31 01:59:03.839	1.018442	0.990505	1.048350	0.966512	0.963883	0.968484	-0.002067	-0.001738
2019.12.31 01:59:04.089	1.009896	0.992477	1.047364	0.967170	0.963883	0.968813	-0.002067	-0.002395
2019.12.31 01:59:04.339	1.001022	0.988533	1.044735	0.962568	0.966184	0.970456	-0.001738	-0.002067
2019.12.31 01:59:04.589	0.994778	0.990834	1.032903	0.966841	0.965198	0.971114	-0.001738	-0.001738
2019.12.31 01:59:04.839	0.995764	0.986232	1.024686	0.967498	0.965855	0.972428	-0.002395	-0.001738
2019.12.31 01:59:05.089	1.000365	0.987876	1.017784	0.968156	0.966184	0.973414	-0.002067	-0.001738
2019.12.31 01:59:05.339	1.021400	0.985904	1.025344	0.967170	0.967170	0.971771	-0.002067	-0.002067
2019.12.31 01:59:05.589	1.048350	0.985904	1.028302	0.962240	0.965526	0.971114	-0.002067	-0.002067
2019.12.31 01:59:05.839	1.065441	0.989190	1.033232	0.961582	0.963554	0.970128	-0.002395	-0.001738
2019.12.31 01:59:06.089	1.052623	0.993792	1.049994	0.964869	0.963883	0.969142	-0.002395	-0.002395
2019.12.31 01:59:06.339	1.018113	0.989519	1.084175	0.963554	0.963883	0.971114	-0.002067	-0.002067
2019.12.31 01:59:06.589	1.006938	0.997407	1.106853	0.966841	0.965526	0.969142	-0.002067	-0.002395
2019.12.31 01:59:06.839	0.999379	0.996092	1.096993	0.966841	0.964869	0.970785	-0.002067	-0.002067
2019.12.31 01:59:07.089	1.005295	0.995435	1.064455	0.964869	0.965526	0.969470	-0.002067	-0.002067
2019.12.31 01:59:07.339	1.017784	0.993792	1.044406	0.965198	0.964869	0.970456	-0.001738	-0.002067
2019.12.31 01:59:07.589	1.033232	0.988862	1.032903	0.964540	0.963226	0.969799	-0.002067	-0.002724
2019.12.31 01:59:07.839	1.036190	0.991162	1.031917	0.964540	0.963226	0.969142	-0.002395	-0.002067
2019.12.31 01:59:08.089	1.036518	0.990176	1.032903	0.966184	0.964212	0.969470	-0.002395	-0.002067
2019.12.31 01:59:08.339	1.012854	0.993792	1.039476	0.964540	0.964540	0.970128	-0.002067	-0.002395
2019.12.31 01:59:08.589	0.996092	0.992148	1.052952	0.966184	0.964540	0.969799	-0.001738	-0.002067
2019.12.31 01:59:08.839	0.990834	0.989190	1.053609	0.969470	0.964540	0.970456	-0.002395	-0.002395
2019.12.31 01:59:09.089	0.992148	0.989519	1.059196	0.963554	0.964869	0.971442	-0.002067	-0.002067
2019.12.31 01:59:09.339	0.986561	0.987218	1.064126	0.965198	0.967170	0.970785	-0.001738	-0.002067
2019.12.31 01:59:09.589	0.988862	0.987547	1.071357	0.969799	0.965198	0.970128	-0.002395	-0.002067
2019.12.31 01:59:09.839	0.994120	0.987547	1.073986	0.967498	0.966184	0.968156	-0.002067	-0.002067
2019.12.31 01:59:10.089	1.003323	0.992806	1.061826	0.970456	0.966184	0.967827	-0.002067	-0.002724
